Time(hr)	Mass Accretion Ratio
0.0	0.0
0.447	0.8903765690376569
0.80627	1.0
1.1283	1.0
1.4969	0.40753138075313805
1.8749	0.8125523012552301
2.1815	1.0
2.4765	1.0
2.9029	1.0
3.4401	0.9748953974895398
3.9589	1.0
4.4907	0.999163179916318
5.0639	0.9899581589958159
5.6729	1.0
6.2864	0.9966527196652719
6.9094	1.0
7.5369	0.998326359832636
8.1874	0.999163179916318
8.8168	1.0
9.4383	0.9974895397489539
10.062	1.0
10.69	0.9974895397489539
11.314	1.0
11.967	0.998326359832636
12.606	1.0
13.255999999999998	1.0
13.903	1.0
14.536999999999999	1.0
15.181000000000001	1.0
15.815999999999999	1.0
16.462	1.0
17.101	1.0
17.711	1.0
18.347	1.0
18.995	1.0
19.646	1.0
20.283	1.0
20.927	1.0
21.572	1.0
22.229999999999997	1.0
22.881	1.0
23.529	1.0
24.191	1.0
24.834999999999997	1.0
25.491	1.0
26.151	1.0
26.802	1.0
27.442999999999998	1.0
28.1	1.0
28.75	1.0
29.407	1.0
30.06	1.0
30.71	1.0
31.337000000000003	1.0
31.972	1.0
32.635	1.0
33.287	1.0
33.939	1.0
34.6	1.0
35.266000000000005	1.0
35.933	1.0
36.604	1.0
37.278999999999996	1.0
37.947	1.0
38.618	1.0
39.292	1.0
39.966	1.0
40.646	1.0
41.31999999999999	1.0
41.998	1.0
42.67400000000001	1.0
43.361999999999995	1.0
